RecordID_Int,ParcelNumber,SaleDate,SaleAmount,StreetName,StreetNumber,Unit
1,010001000,2000/10/23 00:00:00+00,0,EMMET ST N,1117,
2,010001000,2016/02/10 00:00:00+00,0,EMMET ST N,1117,
3,010001100,2008/09/23 00:00:00+00,484687,MILLMONT ST,1035-67,
4,010001100,2008/09/23 00:00:00+00,0,MILLMONT ST,1035-67,
5,010001100,2008/09/23 00:00:00+00,0,MILLMONT ST,1035-67,
6,010001100,2008/09/23 00:00:00+00,0,MILLMONT ST,1035-67,
7,010001100,2008/09/23 00:00:00+00,0,MILLMONT ST,1035-67,
8,010001100,2008/09/23 00:00:00+00,0,MILLMONT ST,1035-67,
9,010001100,2008/09/23 00:00:00+00,0,MILLMONT ST,1035-67,
10,010001100,1995/01/13 00:00:00+00,700000,MILLMONT ST,1035-67,
11,010001100,2008/09/23 00:00:00+00,113437,MILLMONT ST,1035-67,
12,010001100,1995/01/13 00:00:00+00,18381,MILLMONT ST,1035-67,
13,010001100,2008/09/23 00:00:00+00,113437,MILLMONT ST,1035-67,
14,010001100,2008/09/23 00:00:00+00,113437,MILLMONT ST,1035-67,
15,010001200,1988/12/30 00:00:00+00,0,MILLMONT ST,1159,
16,010001200,1989/03/15 00:00:00+00,0,MILLMONT ST,1159,
17,010001300,1989/03/15 00:00:00+00,0,MILLMONT ST,1135-37,
18,010001300,1988/12/30 00:00:00+00,0,MILLMONT ST,1135-37,
19,010001400,1997/04/29 00:00:00+00,8389526,MILLMONT ST,1111,
20,010001400,1996/03/18 00:00:00+00,827000,MILLMONT ST,1111,
21,010001500,1988/12/30 00:00:00+00,0,MILLMONT ST,1149,
22,010001500,1989/03/15 00:00:00+00,0,MILLMONT ST,1149,
23,010001600,1900/01/01 00:00:00+00,0,MASSIE RD,600,
24,010001700,1983/12/30 00:00:00+00,0,MILLMONT ST,1101,
25,010001700,1988/08/31 00:00:00+00,1300000,MILLMONT ST,1101,
26,010001900,2000/04/27 00:00:00+00,2990000,MILLMONT ST,1023,
27,010001900,2000/04/27 00:00:00+00,0,MILLMONT ST,1023,
28,010001900,1986/12/01 00:00:00+00,1750000,MILLMONT ST,1023,
29,010001900,1997/06/27 00:00:00+00,260000,MILLMONT ST,1023,
30,010001900,2012/05/10 00:00:00+00,2220308,MILLMONT ST,1023,
31,010004000,1996/12/27 00:00:00+00,0,EMMET ST N,1138,
32,010004000,2018/05/21 00:00:00+00,0,EMMET ST N,1138,
33,010004000,1996/09/17 00:00:00+00,0,EMMET ST N,1138,
34,010004000,2018/05/21 00:00:00+00,0,EMMET ST N,1138,
35,010004000,2018/01/05 00:00:00+00,0,EMMET ST N,1138,
36,010004000,2018/05/21 00:00:00+00,0,EMMET ST N,1138,
37,010004100,2018/05/21 00:00:00+00,0,EMMET ST N,1170,
38,010004100,2019/09/06 00:00:00+00,0,EMMET ST N,1170,
39,010004100,2010/09/27 00:00:00+00,0,EMMET ST N,1170,
40,010004100,2018/01/05 00:00:00+00,0,EMMET ST N,1170,
41,010004100,1998/01/05 00:00:00+00,400000,EMMET ST N,1170,
42,010004100,2018/05/21 00:00:00+00,0,EMMET ST N,1170,
43,010004100,2016/09/23 00:00:00+00,0,EMMET ST N,1170,
44,010004100,2017/04/19 00:00:00+00,0,EMMET ST N,1170,
45,010004100,2018/05/21 00:00:00+00,0,EMMET ST N,1170,
46,010004100,1985/09/16 00:00:00+00,200000,EMMET ST N,1170,
47,010004100,1981/03/13 00:00:00+00,130000,EMMET ST N,1170,
48,010004300,1987/06/22 00:00:00+00,220000,EMMET ST N,1134,
49,010004300,1987/06/22 00:00:00+00,220000,EMMET ST N,1134,
50,010004300,1971/06/16 00:00:00+00,32000,EMMET ST N,1134,
51,010004300,2001/04/19 00:00:00+00,375000,EMMET ST N,1134,
52,010004400,1988/06/29 00:00:00+00,0,EMMET ST N,1136-A,1
53,010004400,1969/01/09 00:00:00+00,85600,EMMET ST N,1136-A,1
54,010004400,2002/04/15 00:00:00+00,350000,EMMET ST N,1136-A,1
55,010004500,1988/06/29 00:00:00+00,0,EMMET ST N,1136-B,2
56,010004500,1988/07/07 00:00:00+00,200000,EMMET ST N,1136-B,2
57,010004500,2009/12/16 00:00:00+00,0,EMMET ST N,1136-B,2
58,010005000,1993/02/18 00:00:00+00,0,BARRACKS RD,0,
59,010006000,1995/05/25 00:00:00+00,0,BARRACKS RD,2028,
60,010006000,2003/02/20 00:00:00+00,0,BARRACKS RD,2028,
61,010006000,2003/01/31 00:00:00+00,545000,BARRACKS RD,2028,
62,010007000,1982/07/27 00:00:00+00,160000,BARRACKS RD,1930,
63,010008000,1984/08/31 00:00:00+00,175000,BARRACKS RD,0,
64,010008000,2015/01/28 00:00:00+00,0,BARRACKS RD,0,
65,010009000,1984/08/31 00:00:00+00,175000,BARRACKS RD,1920,
66,010009000,2015/01/28 00:00:00+00,0,BARRACKS RD,1920,
67,010010000,2018/10/31 00:00:00+00,575000,WESTVIEW RD,1851,
68,010010000,1995/02/28 00:00:00+00,0,WESTVIEW RD,1851,
69,010011000,2018/01/10 00:00:00+00,970000,WESTVIEW RD,1855,
70,010011000,1984/05/16 00:00:00+00,205000,WESTVIEW RD,1855,
71,010012000,1973/12/17 00:00:00+00,50000,WESTVIEW RD,1857,
72,010012000,2003/07/09 00:00:00+00,0,WESTVIEW RD,1857,
73,010012000,2015/05/04 00:00:00+00,512000,WESTVIEW RD,1857,
74,010012000,2015/05/04 00:00:00+00,0,WESTVIEW RD,1857,
75,010014000,2007/02/05 00:00:00+00,0,WESTVIEW RD,1885,
76,010014000,2017/03/16 00:00:00+00,0,WESTVIEW RD,1885,
77,010014000,1984/07/12 00:00:00+00,0,WESTVIEW RD,1885,
78,010014000,2007/06/26 00:00:00+00,975000,WESTVIEW RD,1885,
79,010015000,2002/07/03 00:00:00+00,480000,WESTVIEW RD,1889,
80,010015000,1996/08/16 00:00:00+00,325000,WESTVIEW RD,1889,
81,010016000,1979/08/22 00:00:00+00,91000,WESTVIEW RD,1891,
82,010017000,1958/10/10 00:00:00+00,31500,WESTVIEW RD,1893,
83,010017000,2017/02/07 00:00:00+00,0,WESTVIEW RD,1893,
84,010017000,2015/02/26 00:00:00+00,0,WESTVIEW RD,1893,
85,010017000,2018/10/19 00:00:00+00,1030000,WESTVIEW RD,1893,
86,010017000,2015/11/25 00:00:00+00,0,WESTVIEW RD,1893,
87,010017000,2014/11/14 00:00:00+00,0,WESTVIEW RD,1893,
88,010017000,2014/11/14 00:00:00+00,0,WESTVIEW RD,1893,
89,010017000,2017/06/08 00:00:00+00,636000,WESTVIEW RD,1893,
90,010017000,2014/11/14 00:00:00+00,0,WESTVIEW RD,1893,
91,010017000,2016/01/29 00:00:00+00,0,WESTVIEW RD,1893,
92,010017100,2005/11/10 00:00:00+00,654750,WESTVIEW RD,1895,
93,010017100,1993/06/11 00:00:00+00,180000,WESTVIEW RD,1895,
94,010017100,2004/02/20 00:00:00+00,0,WESTVIEW RD,1895,
95,010017100,2000/09/14 00:00:00+00,459500,WESTVIEW RD,1895,
96,010018000,1978/03/15 00:00:00+00,2500000,EMMET ST N,1001,
97,010019000,2002/05/23 00:00:00+00,0,WESTVIEW RD,1890,
98,010019000,2002/05/23 00:00:00+00,85000,WESTVIEW RD,1890,
99,010019000,2006/07/07 00:00:00+00,479500,WESTVIEW RD,1890,
100,010019000,2000/08/22 00:00:00+00,0,WESTVIEW RD,1890,
101,010019000,2001/11/01 00:00:00+00,70000,WESTVIEW RD,1890,
102,010019000,2003/03/03 00:00:00+00,360000,WESTVIEW RD,1890,
103,010019000,2008/08/07 00:00:00+00,549000,WESTVIEW RD,1890,
104,010019000,1973/03/19 00:00:00+00,10000,WESTVIEW RD,1890,
105,010020000,2010/08/04 00:00:00+00,962500,WESTVIEW RD,1888,
106,010020000,1981/04/03 00:00:00+00,0,WESTVIEW RD,1888,
107,010020000,2001/01/24 00:00:00+00,275000,WESTVIEW RD,1888,
108,010020000,2014/10/14 00:00:00+00,0,WESTVIEW RD,1888,
109,010021000,1994/04/15 00:00:00+00,175900,WESTVIEW RD,1884,
110,010022000,2000/01/07 00:00:00+00,0,WESTVIEW RD,1882,
111,010022000,1991/06/24 00:00:00+00,265000,WESTVIEW RD,1882,
112,010022000,1989/06/01 00:00:00+00,279000,WESTVIEW RD,1882,
113,010022000,2019/09/04 00:00:00+00,1300000,WESTVIEW RD,1882,
114,010023000,2004/03/29 00:00:00+00,525000,WESTVIEW RD,1880,
115,010023000,1995/05/25 00:00:00+00,0,WESTVIEW RD,1880,
116,010023000,1998/12/21 00:00:00+00,0,WESTVIEW RD,1880,
117,010023000,1999/05/07 00:00:00+00,275000,WESTVIEW RD,1880,
118,010023000,1996/12/04 00:00:00+00,0,WESTVIEW RD,1880,
119,010024000,1998/04/14 00:00:00+00,260000,WESTVIEW RD,1878,
120,010024000,1992/09/09 00:00:00+00,196500,WESTVIEW RD,1878,
121,010024000,2020/04/23 00:00:00+00,0,WESTVIEW RD,1878,
122,010024000,2005/10/08 00:00:00+00,580000,WESTVIEW RD,1878,
123,010024000,2012/05/15 00:00:00+00,0,WESTVIEW RD,1878,
124,010024A00,2002/06/12 00:00:00+00,125000,WESTVIEW RD,1876,
125,010024A00,2014/06/30 00:00:00+00,940000,WESTVIEW RD,1876,
126,010024A00,2007/08/29 00:00:00+00,895000,WESTVIEW RD,1876,
127,010026000,1998/09/02 00:00:00+00,0,WESTVIEW RD,1852,
128,010026000,1994/07/18 00:00:00+00,195000,WESTVIEW RD,1852,
129,010026000,2007/06/19 00:00:00+00,889000,WESTVIEW RD,1852,
130,010027000,2008/08/04 00:00:00+00,483000,FIELD RD,1863,
131,010027000,2017/12/08 00:00:00+00,695000,FIELD RD,1863,
132,010027000,2017/12/08 00:00:00+00,695000,FIELD RD,1863,
133,010027000,1998/09/02 00:00:00+00,0,FIELD RD,1863,
134,010027000,2008/08/04 00:00:00+00,0,FIELD RD,1863,
135,010027000,1995/12/08 00:00:00+00,175000,FIELD RD,1863,
136,010028000,2001/11/05 00:00:00+00,0,FIELD RD,1865,
137,010028000,1989/04/04 00:00:00+00,212100,FIELD RD,1865,
138,010028000,2001/11/05 00:00:00+00,0,FIELD RD,1865,
139,010028000,2012/10/10 00:00:00+00,469000,FIELD RD,1865,
140,010029000,2012/04/10 00:00:00+00,0,FIELD RD,1867,
141,010029000,2012/04/10 00:00:00+00,0,FIELD RD,1867,
142,010029000,1998/02/02 00:00:00+00,0,FIELD RD,1867,
143,010029000,1997/08/05 00:00:00+00,285000,FIELD RD,1867,
144,010030000,1985/12/31 00:00:00+00,122000,FIELD RD,1869,
145,010030000,1998/03/26 00:00:00+00,0,FIELD RD,1869,
146,010030000,2003/12/05 00:00:00+00,0,FIELD RD,1869,
147,010030000,1999/02/03 00:00:00+00,0,FIELD RD,1869,
148,010030000,2002/03/01 00:00:00+00,275000,FIELD RD,1869,
149,010030100,2013/06/07 00:00:00+00,473000,FIELD RD,1871,
150,010030100,1979/09/19 00:00:00+00,94500,FIELD RD,1871,
151,010031000,1992/04/02 00:00:00+00,165000,FIELD RD,1873,
152,010031000,2003/06/06 00:00:00+00,425000,FIELD RD,1873,
153,010031000,1999/07/15 00:00:00+00,291000,FIELD RD,1873,
154,010031000,2008/12/15 00:00:00+00,545000,FIELD RD,1873,
155,010032000,1999/03/05 00:00:00+00,0,FIELD RD,1877,
156,010032000,1999/01/28 00:00:00+00,0,FIELD RD,1877,
157,010032000,1976/10/13 00:00:00+00,61000,FIELD RD,1877,
158,010033000,2016/10/18 00:00:00+00,421000,FIELD RD,1884,
159,010033000,1991/01/30 00:00:00+00,140000,FIELD RD,1884,
160,010034000,1971/08/18 00:00:00+00,34500,FIELD RD,1882,
161,010034000,2019/02/15 00:00:00+00,470000,FIELD RD,1882,
162,010034000,2018/11/15 00:00:00+00,430000,FIELD RD,1882,
163,010035000,1995/07/05 00:00:00+00,156500,FIELD RD,1874,
164,010036000,1994/01/31 00:00:00+00,164500,FIELD RD,1872,
165,010036000,2010/11/01 00:00:00+00,389000,FIELD RD,1872,
166,010036000,2014/03/21 00:00:00+00,695940,FIELD RD,1872,
167,010037000,2001/07/02 00:00:00+00,345000,FIELD RD,1870,
168,010037000,2016/05/05 00:00:00+00,740000,FIELD RD,1870,
169,010037000,1995/12/21 00:00:00+00,268000,FIELD RD,1870,
170,010038000,2015/05/29 00:00:00+00,0,FIELD RD,1868,
171,010038000,2018/04/09 00:00:00+00,685000,FIELD RD,1868,
172,010038000,2019/03/29 00:00:00+00,1375000,FIELD RD,1868,
173,010038000,1952/12/24 00:00:00+00,19125,FIELD RD,1868,
174,010038000,2007/11/12 00:00:00+00,0,FIELD RD,1868,
175,010038000,2012/02/01 00:00:00+00,0,FIELD RD,1868,
176,010039000,1989/12/27 00:00:00+00,68850,FIELD RD,1866,
177,010039000,2007/07/13 00:00:00+00,520000,FIELD RD,1866,
178,010039000,2007/05/25 00:00:00+00,520000,FIELD RD,1866,
179,010040000,1952/01/01 00:00:00+00,2500,FIELD RD,1864,
180,010040000,2003/07/25 00:00:00+00,0,FIELD RD,1864,
181,010040000,2004/07/28 00:00:00+00,420000,FIELD RD,1864,
182,010040000,2003/09/08 00:00:00+00,0,FIELD RD,1864,
183,010040000,2003/09/08 00:00:00+00,0,FIELD RD,1864,
184,010040000,2003/09/08 00:00:00+00,0,FIELD RD,1864,
185,010041000,2004/09/02 00:00:00+00,0,FENDALL TER,906,
186,010041000,1979/09/06 00:00:00+00,117500,FENDALL TER,906,
187,010041000,2004/03/03 00:00:00+00,530000,FENDALL TER,906,
188,010041000,2019/06/06 00:00:00+00,1350000,FENDALL TER,906,
189,010042000,2015/04/24 00:00:00+00,0,WINSTON RD,1859,
190,010042000,1997/11/17 00:00:00+00,131000,WINSTON RD,1859,
191,010042000,2015/07/06 00:00:00+00,0,WINSTON RD,1859,
192,010043000,1993/07/28 00:00:00+00,172500,WINSTON RD,1861,
193,010043000,2015/04/24 00:00:00+00,0,WINSTON RD,1861,
194,010043000,2014/11/12 00:00:00+00,0,WINSTON RD,1861,
195,010043000,2018/07/17 00:00:00+00,660000,WINSTON RD,1861,
196,010043000,2006/12/15 00:00:00+00,0,WINSTON RD,1861,
197,010043000,2015/05/06 00:00:00+00,590000,WINSTON RD,1861,
198,010043000,2011/05/25 00:00:00+00,315000,WINSTON RD,1861,
199,010043000,2020/01/07 00:00:00+00,680000,WINSTON RD,1861,
200,010044000,1960/09/16 00:00:00+00,42500,WINSTON RD,1863,
201,010044000,2003/11/18 00:00:00+00,575000,WINSTON RD,1863,
202,010045000,2008/07/30 00:00:00+00,745000,WINSTON RD,1867,
203,010045000,1997/06/28 00:00:00+00,0,WINSTON RD,1867,
204,010045000,2006/11/29 00:00:00+00,725000,WINSTON RD,1867,
205,010046000,2014/02/07 00:00:00+00,699000,FENDALL TER,901,
206,010046000,1990/07/17 00:00:00+00,0,FENDALL TER,901,
207,010046000,1998/11/24 00:00:00+00,180000,FENDALL TER,901,
208,010047000,1985/07/12 00:00:00+00,0,FENDALL TER,905,
209,010047000,2016/08/25 00:00:00+00,579000,FENDALL TER,905,
210,010048000,1973/04/18 00:00:00+00,785000,EMMET ST N,918,
211,010048000,1993/01/07 00:00:00+00,1150000,EMMET ST N,918,
212,010048100,1972/09/13 00:00:00+00,49600,EMMET ST N,902,
213,010048100,2004/03/23 00:00:00+00,0,EMMET ST N,902,
214,010048100,2000/03/16 00:00:00+00,325000,EMMET ST N,902,
215,010048100,2007/08/30 00:00:00+00,0,EMMET ST N,902,
216,010048200,1973/04/18 00:00:00+00,785000,EMMET ST N,914,
217,010048200,1993/01/07 00:00:00+00,1150000,EMMET ST N,914,
218,010049000,1973/10/01 00:00:00+00,56400,EMMET ST N,900,
219,010049000,2004/03/23 00:00:00+00,0,EMMET ST N,900,
220,010049000,2000/03/16 00:00:00+00,325000,EMMET ST N,900,
221,010049000,2007/08/30 00:00:00+00,0,EMMET ST N,900,
222,010049100,2007/08/30 00:00:00+00,0,EMMET ST N,0,
223,010049100,1973/10/01 00:00:00+00,56400,EMMET ST N,0,
224,010049100,2004/03/23 00:00:00+00,0,EMMET ST N,0,
225,010049100,2000/03/16 00:00:00+00,325000,EMMET ST N,0,
226,020001000,1984/08/31 00:00:00+00,175000,BARRACKS RD,0,
227,020001000,2015/01/28 00:00:00+00,0,BARRACKS RD,0,
228,020002000,2015/01/28 00:00:00+00,0,BARRACKS RD,0,
229,020002000,1984/08/31 00:00:00+00,175000,BARRACKS RD,0,
230,020003000,2007/08/10 00:00:00+00,948000,BARRACKS RD,1910,
231,020003000,2003/06/03 00:00:00+00,500000,BARRACKS RD,1910,
232,020003000,1989/02/02 00:00:00+00,0,BARRACKS RD,1910,
233,020004000,2005/05/06 00:00:00+00,377500,BUCKINGHAM RD,120,
234,020004000,1999/07/19 00:00:00+00,0,BUCKINGHAM RD,120,
235,020004000,1973/07/16 00:00:00+00,50000,BUCKINGHAM RD,120,
236,020004000,2019/10/08 00:00:00+00,0,BUCKINGHAM RD,120,
237,020004000,2004/02/11 00:00:00+00,275000,BUCKINGHAM RD,120,
238,020005000,1993/11/18 00:00:00+00,0,BUCKINGHAM RD,128,
239,020006000,1983/07/08 00:00:00+00,115600,BUCKINGHAM RD,108,
240,020006000,2009/04/23 00:00:00+00,600000,BUCKINGHAM RD,108,
241,020006000,2019/05/21 00:00:00+00,0,BUCKINGHAM RD,108,
242,020006000,2017/11/30 00:00:00+00,0,BUCKINGHAM RD,108,
243,020006000,2003/11/18 00:00:00+00,310000,BUCKINGHAM RD,108,
244,020006000,2019/06/17 00:00:00+00,0,BUCKINGHAM RD,108,
245,020006100,2019/06/17 00:00:00+00,0,BUCKINGHAM RD,110,
246,020006100,2016/10/05 00:00:00+00,355000,BUCKINGHAM RD,110,
247,020006100,2007/04/17 00:00:00+00,362500,BUCKINGHAM RD,110,
248,020006100,1995/09/08 00:00:00+00,0,BUCKINGHAM RD,110,
249,020006100,2004/05/03 00:00:00+00,300000,BUCKINGHAM RD,110,
250,020006200,1988/06/16 00:00:00+00,140000,BUCKINGHAM RD,114,
251,020006200,2016/12/05 00:00:00+00,391000,BUCKINGHAM RD,114,
252,020006300,1998/07/16 00:00:00+00,183000,BUCKINGHAM RD,118,
253,020006300,2012/11/29 00:00:00+00,386375,BUCKINGHAM RD,118,
254,020006300,1984/06/29 00:00:00+00,120000,BUCKINGHAM RD,118,
255,020006300,2015/06/30 00:00:00+00,412500,BUCKINGHAM RD,118,
256,020007000,1996/02/27 00:00:00+00,0,BUCKINGHAM RD,104,
257,020007000,2013/01/24 00:00:00+00,335000,BUCKINGHAM RD,104,
258,020007000,2007/03/22 00:00:00+00,0,BUCKINGHAM RD,104,
259,020008000,2001/09/11 00:00:00+00,180000,BARRACKS RD,1820,
260,020008000,1986/12/16 00:00:00+00,80000,BARRACKS RD,1820,
261,020009000,1958/01/30 00:00:00+00,20500,BARRACKS RD,1812,
262,020009000,2004/08/11 00:00:00+00,236000,BARRACKS RD,1812,
263,020010000,2005/03/02 00:00:00+00,430000,HOWARD DR,116,
264,020010000,1992/01/01 00:00:00+00,0,HOWARD DR,116,
265,020010000,2019/08/19 00:00:00+00,373450,HOWARD DR,116,
266,020010000,2016/12/20 00:00:00+00,155000,HOWARD DR,116,
267,020011000,2001/08/20 00:00:00+00,325000,HOWARD DR,114,
268,020011000,2014/04/16 00:00:00+00,500000,HOWARD DR,114,
269,020011000,2017/06/12 00:00:00+00,0,HOWARD DR,114,
270,020011000,2000/01/27 00:00:00+00,170570,HOWARD DR,114,
271,020011000,1995/09/19 00:00:00+00,180000,HOWARD DR,114,
272,020011000,2005/01/25 00:00:00+00,450000,HOWARD DR,114,
273,020012000,1994/04/22 00:00:00+00,120000,HOWARD DR,112,
274,020012000,2016/07/28 00:00:00+00,379000,HOWARD DR,112,
275,020012000,2005/12/14 00:00:00+00,350000,HOWARD DR,112,
276,020012000,2006/06/12 00:00:00+00,350000,HOWARD DR,112,
277,020012000,2011/11/28 00:00:00+00,0,HOWARD DR,112,
278,020013000,2014/05/23 00:00:00+00,265000,HOWARD DR,110,
279,020013000,1997/10/09 00:00:00+00,152500,HOWARD DR,110,
280,020014000,1977/08/22 00:00:00+00,54500,BARRACKS RD,1808,
281,020015000,2019/01/25 00:00:00+00,252500,BARRACKS RD,1806,
282,020015000,2019/10/17 00:00:00+00,550000,BARRACKS RD,1806,
283,020015000,1967/06/27 00:00:00+00,0,BARRACKS RD,1806,
284,020015000,2005/04/08 00:00:00+00,0,BARRACKS RD,1806,
285,020015000,2014/12/23 00:00:00+00,0,BARRACKS RD,1806,
286,020015000,2005/04/08 00:00:00+00,0,BARRACKS RD,1806,
287,020016000,2008/10/29 00:00:00+00,0,BARRACKS RD,1800,
288,020016000,1999/10/15 00:00:00+00,193000,BARRACKS RD,1800,
289,020016000,2016/08/19 00:00:00+00,0,BARRACKS RD,1800,
290,020016000,1995/07/17 00:00:00+00,162000,BARRACKS RD,1800,
291,020016100,1996/09/26 00:00:00+00,0,RUGBY RD,1107,
292,020016100,2010/06/03 00:00:00+00,350000,RUGBY RD,1107,
293,020016100,2016/06/30 00:00:00+00,478000,RUGBY RD,1107,
294,020016200,2015/01/28 00:00:00+00,415000,RUGBY RD,1109,
295,020016200,1984/05/21 00:00:00+00,0,RUGBY RD,1109,
296,020016200,2013/10/16 00:00:00+00,83000,RUGBY RD,1109,
297,020017000,2001/08/31 00:00:00+00,339000,RUGBY RD,1105,
298,020017000,1965/06/10 00:00:00+00,0,RUGBY RD,1105,
299,020017000,2000/02/29 00:00:00+00,208000,RUGBY RD,1105,
300,020019000,2020/05/13 00:00:00+00,1975000,RUGBY RD,1101,
301,020019000,2003/06/13 00:00:00+00,810000,RUGBY RD,1101,
302,020019000,1985/05/23 00:00:00+00,270000,RUGBY RD,1101,
303,020019100,1985/07/18 00:00:00+00,28000,ROSSER LN,947,
304,020019100,2018/08/10 00:00:00+00,767500,ROSSER LN,947,
305,020019100,2011/12/01 00:00:00+00,640000,ROSSER LN,947,
306,020020000,1998/08/24 00:00:00+00,200000,ROSSER LN,945,
307,020020000,2003/07/16 00:00:00+00,377000,ROSSER LN,945,
308,020020000,1991/05/31 00:00:00+00,150000,ROSSER LN,945,
309,020021000,1971/07/09 00:00:00+00,60030,ROSSER LN,941,
310,020022000,1980/09/04 00:00:00+00,174000,ROSSER LN,939,
311,020023000,2001/03/06 00:00:00+00,768000,WESTVIEW RD,1801,
312,020023000,1990/05/24 00:00:00+00,0,WESTVIEW RD,1801,
313,020023100,1972/08/04 00:00:00+00,79500,WESTVIEW RD,1829,
314,020023100,2002/03/01 00:00:00+00,740000,WESTVIEW RD,1829,
315,020023100,1999/03/04 00:00:00+00,0,WESTVIEW RD,1829,
316,020023100,1999/10/15 00:00:00+00,390000,WESTVIEW RD,1829,
317,020023100,1999/05/11 00:00:00+00,0,WESTVIEW RD,1829,
318,020023A00,2002/06/10 00:00:00+00,2967,ROSSER LN,921,
319,020023A00,2013/02/12 00:00:00+00,650000,ROSSER LN,921,
320,020023A00,2011/11/21 00:00:00+00,0,ROSSER LN,921,
321,020023A00,2016/10/07 00:00:00+00,851000,ROSSER LN,921,
322,020023A00,2017/02/23 00:00:00+00,848000,ROSSER LN,921,
323,020024000,1985/07/03 00:00:00+00,335000,WESTVIEW RD,1833,
324,020025000,2010/09/02 00:00:00+00,1100000,WESTVIEW RD,1839,
325,020025000,1990/03/01 00:00:00+00,485000,WESTVIEW RD,1839,
326,020025000,2020/04/07 00:00:00+00,0,WESTVIEW RD,1839,
327,020025000,2018/04/24 00:00:00+00,0,WESTVIEW RD,1839,
328,020025000,2015/07/27 00:00:00+00,735000,WESTVIEW RD,1839,
329,020025A00,2018/04/24 00:00:00+00,0,WESTVIEW RD,0,
330,020025A00,2010/09/02 00:00:00+00,1100000,WESTVIEW RD,0,
331,020025A00,2015/07/27 00:00:00+00,735000,WESTVIEW RD,0,
332,020026000,2007/10/25 00:00:00+00,0,WESTVIEW RD,1861,
333,020026000,2018/04/24 00:00:00+00,0,WESTVIEW RD,1861,
334,020026000,1992/12/21 00:00:00+00,0,WESTVIEW RD,1861,
335,020026000,2008/05/27 00:00:00+00,1000000,WESTVIEW RD,1861,
336,020026000,2009/01/23 00:00:00+00,0,WESTVIEW RD,1861,
337,020026000,2020/04/06 00:00:00+00,0,WESTVIEW RD,1861,
338,020027000,1988/03/10 00:00:00+00,0,WESTVIEW RD,1848,
339,020027000,2000/12/14 00:00:00+00,0,WESTVIEW RD,1848,
340,020027000,1998/01/30 00:00:00+00,0,WESTVIEW RD,1848,
341,020028000,1970/09/08 00:00:00+00,38000,WESTVIEW RD,1844,
342,020028000,2002/07/23 00:00:00+00,385000,WESTVIEW RD,1844,
343,020028000,2010/12/29 00:00:00+00,675000,WESTVIEW RD,1844,
344,020029000,2002/03/04 00:00:00+00,425000,WESTVIEW RD,1834,
345,020029000,1994/06/06 00:00:00+00,0,WESTVIEW RD,1834,
346,020029000,2015/06/12 00:00:00+00,776795,WESTVIEW RD,1834,
347,020029000,2002/05/28 00:00:00+00,456000,WESTVIEW RD,1834,
348,020029000,2015/06/12 00:00:00+00,0,WESTVIEW RD,1834,
349,020031000,2015/06/12 00:00:00+00,155000,FIELD RD,1859,
350,020031000,1988/07/01 00:00:00+00,235000,FIELD RD,1859,
351,020031000,2005/12/22 00:00:00+00,0,FIELD RD,1859,
352,020032000,1987/05/21 00:00:00+00,138000,FIELD RD,1861,
353,020033000,2019/06/12 00:00:00+00,0,FIELD RD,1862,
354,020033000,1980/02/29 00:00:00+00,87500,FIELD RD,1862,
355,020034000,1999/01/08 00:00:00+00,182500,WINSTON RD,1857,
356,020034000,1986/07/15 00:00:00+00,138500,WINSTON RD,1857,
357,020035000,1990/07/20 00:00:00+00,245000,WINSTON RD,1855,
358,020035000,1999/09/10 00:00:00+00,0,WINSTON RD,1855,
359,020035000,1999/09/17 00:00:00+00,248500,WINSTON RD,1855,
360,020035000,1998/04/06 00:00:00+00,165000,WINSTON RD,1855,
361,020036000,1993/06/02 00:00:00+00,0,WINSTON RD,1851,
362,020037000,1978/06/15 00:00:00+00,85500,FIELD RD,1860,
363,020038000,2010/08/18 00:00:00+00,635000,FIELD RD,1858,
364,020038000,1997/10/31 00:00:00+00,220000,FIELD RD,1858,
365,020038000,1999/12/20 00:00:00+00,220000,FIELD RD,1858,
366,020038000,2020/04/15 00:00:00+00,0,FIELD RD,1858,
367,020039000,1994/05/11 00:00:00+00,206500,WINSTON RD,1849,
368,020040000,2000/06/22 00:00:00+00,0,WINSTON RD,1847,
369,020040000,2019/12/18 00:00:00+00,308000,WINSTON RD,1847,
370,020040000,1988/06/14 00:00:00+00,0,WINSTON RD,1847,
371,020041000,2016/05/31 00:00:00+00,650000,WINSTON RD,1843,
372,020041000,1951/10/30 00:00:00+00,2000,WINSTON RD,1843,
373,020042000,2018/04/02 00:00:00+00,593800,FIELD RD,1856,
374,020042000,2010/07/09 00:00:00+00,550000,FIELD RD,1856,
375,020042000,1996/03/29 00:00:00+00,190000,FIELD RD,1856,
376,020042000,1996/03/29 00:00:00+00,190000,FIELD RD,1856,
377,020042000,2020/04/24 00:00:00+00,814000,FIELD RD,1856,
378,020043000,1987/11/12 00:00:00+00,151000,FIELD RD,1854,
379,020044000,2008/06/16 00:00:00+00,425000,OLD FARM RD,919,
380,020044000,1986/06/10 00:00:00+00,93500,OLD FARM RD,919,
381,020044000,2006/05/01 00:00:00+00,408400,OLD FARM RD,919,
382,020045000,1991/09/18 00:00:00+00,165000,OLD FARM RD,913,
383,020046000,2000/04/21 00:00:00+00,0,OLD FARM RD,911,
384,020046000,1995/02/24 00:00:00+00,0,OLD FARM RD,911,
